,index,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,97,"[0, 80[",*,202683,*,*,*,Husband,*,*,0,0,48,*,>50K
40,101,"[0, 80[",*,198282,*,*,*,Husband,*,*,15024,0,60,*,>50K
41,103,"[0, 80[",*,188300,*,*,*,Own-child,*,*,0,0,40,*,<=50K
42,104,"[0, 80[",*,103432,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
43,105,"[0, 80[",*,317660,*,*,*,Husband,*,*,7688,0,40,*,>50K
44,106,"[0, 80[",*,304873,*,*,*,Own-child,*,*,34095,0,32,*,<=50K
45,109,"[0, 80[",*,124692,*,*,*,Husband,*,*,0,0,40,*,<=50K
46,110,"[0, 80[",*,432376,*,*,*,Other-relative,*,*,0,0,40,*,<=50K
47,111,"[0, 80[",*,65324,*,*,*,Husband,*,*,0,0,40,*,>50K
48,114,"[0, 80[",*,102864,*,*,*,Own-child,*,*,0,0,40,*,<=50K
49,118,"[0, 80[",*,247552,*,*,*,Husband,*,*,0,0,56,*,<=50K
50,119,"[0, 80[",*,102632,*,*,*,Not-in-family,*,*,0,0,41,*,<=50K
51,120,"[0, 80[",*,199915,*,*,*,Own-child,*,*,0,0,40,*,<=50K
52,121,"[0, 80[",*,118853,*,*,*,Husband,*,*,0,0,60,*,<=50K
53,124,"[0, 80[",*,301606,*,*,*,Own-child,*,*,0,0,35,*,<=50K
54,126,"[0, 80[",*,111697,*,*,*,Own-child,*,*,0,1719,28,*,<=50K
55,128,"[0, 80[",*,129305,*,*,*,Husband,*,*,0,0,40,*,<=50K
56,129,"[0, 80[",*,365739,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
57,131,"[0, 80[",*,43323,*,*,*,Not-in-family,*,*,0,1762,40,*,<=50K
58,132,"[0, 80[",*,120985,*,*,*,Husband,*,*,4386,0,35,*,<=50K
59,133,"[0, 80[",*,254202,*,*,*,Husband,*,*,0,0,50,*,<=50K
60,136,"[0, 80[",*,56920,*,*,*,Husband,*,*,0,0,60,*,<=50K
61,138,"[0, 80[",*,34310,*,*,*,Own-child,*,*,0,0,20,*,<=50K
62,139,"[0, 80[",*,81973,*,*,*,Husband,*,*,0,0,40,*,>50K
63,141,"[0, 80[",*,232782,*,*,*,Own-child,*,*,0,0,40,*,<=50K
64,142,"[0, 80[",*,316868,*,*,*,Own-child,*,*,0,0,30,*,<=50K
65,146,"[0, 80[",*,175374,*,*,*,Husband,*,*,0,0,24,*,<=50K
66,150,"[0, 80[",*,186009,*,*,*,Unmarried,*,*,0,0,38,*,<=50K
67,151,"[0, 80[",*,198183,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
68,153,"[0, 80[",*,296158,*,*,*,Own-child,*,*,0,0,35,*,<=50K
69,155,"[0, 80[",*,187715,*,*,*,Husband,*,*,0,0,46,*,<=50K
70,158,"[0, 80[",*,191535,*,*,*,Not-in-family,*,*,0,0,60,*,<=50K
71,161,"[0, 80[",*,252752,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
72,165,"[0, 80[",*,207157,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
73,168,"[0, 80[",*,25828,*,*,*,Own-child,*,*,0,0,16,*,<=50K
74,170,"[0, 80[",*,124953,*,*,*,Not-in-family,*,*,0,1980,40,*,<=50K
75,172,"[0, 80[",*,96062,*,*,*,Husband,*,*,0,1977,40,*,>50K
76,173,"[0, 80[",*,428030,*,*,*,Not-in-family,*,*,0,0,50,*,<=50K
77,176,"[0, 80[",*,312956,*,*,*,Own-child,*,*,0,0,40,*,<=50K
78,177,"[0, 80[",*,483777,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
79,178,"[0, 80[",*,183930,*,*,*,Own-child,*,*,0,0,12,*,<=50K
80,179,"[0, 80[",*,37274,*,*,*,Husband,*,*,0,0,65,*,<=50K
81,181,"[0, 80[",*,114580,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
82,182,"[0, 80[",*,633742,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
83,184,"[0, 80[",*,29054,*,*,*,Husband,*,*,0,0,42,*,>50K
84,185,"[0, 80[",*,304030,*,*,*,Husband,*,*,0,0,40,*,<=50K
85,193,"[0, 80[",*,120939,*,*,*,Husband,*,*,0,0,45,*,<=50K
86,196,"[0, 80[",*,99374,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
87,198,"[0, 80[",*,138992,*,*,*,Other-relative,*,*,7298,0,40,*,>50K
88,200,"[0, 80[",*,397317,*,*,*,Not-in-family,*,*,0,1876,40,*,<=50K
89,202,"[0, 80[",*,259323,*,*,*,Husband,*,*,0,0,50,*,>50K
90,205,"[0, 80[",*,140164,*,*,*,Own-child,*,*,0,0,40,*,<=50K
91,207,"[0, 80[",*,36270,*,*,*,Not-in-family,*,*,0,0,60,*,<=50K
92,209,"[0, 80[",*,65368,*,*,*,Own-child,*,*,0,0,12,*,<=50K
93,211,"[0, 80[",*,208358,*,*,*,Husband,*,*,0,0,40,*,>50K
94,213,"[0, 80[",*,85815,*,*,*,Husband,*,*,0,0,40,*,<=50K
95,215,"[0, 80[",*,635913,*,*,*,Not-in-family,*,*,0,0,60,*,>50K
96,218,"[0, 80[",*,109434,*,*,*,Husband,*,*,0,0,55,*,<=50K
97,219,"[0, 80[",*,255004,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
98,220,"[0, 80[",*,197860,*,*,*,Husband,*,*,0,0,40,*,<=50K
99,223,"[0, 80[",*,176681,*,*,*,Husband,*,*,0,0,20,*,<=50K
100,225,"[0, 80[",*,243313,*,*,*,Own-child,*,*,0,0,40,*,<=50K
101,227,"[0, 80[",*,167687,*,*,*,Husband,*,*,1409,0,50,*,<=50K
102,231,"[0, 80[",*,130408,*,*,*,Unmarried,*,*,0,0,38,*,<=50K
103,232,"[0, 80[",*,159732,*,*,*,Not-in-family,*,*,0,0,42,*,<=50K
104,234,"[0, 80[",*,76714,*,*,*,Not-in-family,*,*,0,0,55,*,>50K
105,239,"[0, 80[",*,115458,*,*,*,Own-child,*,*,0,0,40,*,<=50K
106,240,"[0, 80[",*,347890,*,*,*,Husband,*,*,0,0,40,*,>50K
107,243,"[0, 80[",*,119156,*,*,*,Own-child,*,*,0,0,20,*,<=50K
108,244,"[0, 80[",*,179488,*,*,*,Not-in-family,*,*,0,1741,40,*,<=50K
109,246,"[0, 80[",*,236596,*,*,*,Husband,*,*,0,0,45,*,>50K
110,247,"[0, 80[",*,183916,*,*,*,Not-in-family,*,*,0,0,34,*,<=50K
111,248,"[0, 80[",*,207578,*,*,*,Husband,*,*,0,1977,60,*,>50K
112,256,"[0, 80[",*,117789,*,*,*,Own-child,*,*,0,0,40,*,<=50K
113,257,"[0, 80[",*,172579,*,*,*,Not-in-family,*,*,0,0,30,*,<=50K
114,260,"[0, 80[",*,150042,*,*,*,Own-child,*,*,0,0,40,*,<=50K
115,261,"[0, 80[",*,98092,*,*,*,Husband,*,*,0,0,60,*,<=50K
116,262,"[0, 80[",*,245918,*,*,*,Own-child,*,*,0,0,12,*,<=50K
117,263,"[0, 80[",*,146013,*,*,*,Husband,*,*,4064,0,40,*,<=50K
118,264,"[0, 80[",*,378322,*,*,*,Husband,*,*,0,0,40,*,<=50K
119,266,"[0, 80[",*,218956,*,*,*,Own-child,*,*,0,0,24,*,<=50K
120,267,"[0, 80[",*,21174,*,*,*,Husband,*,*,0,0,40,*,>50K
121,268,"[0, 80[",*,185480,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
122,270,"[0, 80[",*,69867,*,*,*,Husband,*,*,0,0,40,*,>50K
123,271,"[0, 80[",*,191260,*,*,*,Own-child,*,*,1055,0,24,*,<=50K
124,275,"[0, 80[",*,477983,*,*,*,Husband,*,*,0,0,40,*,<=50K
125,276,"[0, 80[",*,170924,*,*,*,Husband,*,*,7298,0,40,*,>50K
126,278,"[0, 80[",*,193787,*,*,*,Own-child,*,*,0,0,40,*,<=50K
127,284,"[0, 80[",*,205759,*,*,*,Own-child,*,*,0,0,40,*,<=50K
128,286,"[0, 80[",*,220531,*,*,*,Husband,*,*,0,0,60,*,>50K
129,288,"[0, 80[",*,371987,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
130,290,"[0, 80[",*,200352,*,*,*,Husband,*,*,0,0,45,*,<=50K
131,293,"[0, 80[",*,231931,*,*,*,Own-child,*,*,0,0,45,*,<=50K
132,294,"[0, 80[",*,248402,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
133,298,"[0, 80[",*,278130,*,*,*,Own-child,*,*,0,0,40,*,<=50K
134,299,"[0, 80[",*,169469,*,*,*,Not-in-family,*,*,0,0,80,*,<=50K
135,300,"[0, 80[",*,146268,*,*,*,Husband,*,*,7688,0,40,*,>50K
136,301,"[0, 80[",*,153718,*,*,*,Not-in-family,*,*,0,0,25,*,<=50K
137,302,"[0, 80[",*,217460,*,*,*,Husband,*,*,0,0,45,*,>50K
138,303,"[0, 80[",*,238638,*,*,*,Husband,*,*,4386,0,40,*,>50K
139,305,"[0, 80[",*,173321,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
140,310,"[0, 80[",*,59306,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
141,312,"[0, 80[",*,860348,*,*,*,Own-child,*,*,0,0,25,*,<=50K
142,314,"[0, 80[",*,199698,*,*,*,Own-child,*,*,0,0,15,*,<=50K
143,315,"[0, 80[",*,191954,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
144,318,"[0, 80[",*,423158,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
145,319,"[0, 80[",*,159841,*,*,*,Not-in-family,*,*,0,0,24,*,<=50K
146,320,"[0, 80[",*,174308,*,*,*,Husband,*,*,0,0,40,*,<=50K
147,321,"[0, 80[",*,50356,*,*,*,Husband,*,*,0,1485,50,*,<=50K
148,322,"[0, 80[",*,186110,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
149,325,"[0, 80[",*,78383,*,*,*,Husband,*,*,0,0,45,*,<=50K
150,330,"[0, 80[",*,206565,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
151,331,"[0, 80[",*,224563,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
152,334,"[0, 80[",*,242606,*,*,*,Husband,*,*,0,0,40,*,<=50K
153,336,"[0, 80[",*,94235,*,*,*,Other-relative,*,*,0,0,40,*,<=50K
154,338,"[0, 80[",*,104112,*,*,*,Unmarried,*,*,0,0,30,*,<=50K
155,339,"[0, 80[",*,261192,*,*,*,Husband,*,*,0,0,40,*,<=50K
156,340,"[0, 80[",*,94936,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
157,341,"[0, 80[",*,296478,*,*,*,Husband,*,*,7298,0,40,*,>50K
158,342,"[0, 80[",*,119272,*,*,*,Husband,*,*,7298,0,40,*,>50K
159,343,"[0, 80[",*,85043,*,*,*,Not-in-family,*,*,0,0,20,*,<=50K
160,349,"[0, 80[",*,156464,*,*,*,Own-child,*,*,0,0,25,*,<=50K
161,350,"[0, 80[",*,117963,*,*,*,Husband,*,*,0,0,40,*,>50K
162,351,"[0, 80[",*,192262,*,*,*,Husband,*,*,0,0,40,*,<=50K
163,352,"[0, 80[",*,111363,*,*,*,Husband,*,*,0,0,40,*,>50K
164,355,"[0, 80[",*,95432,*,*,*,Husband,*,*,0,0,40,*,>50K
165,358,"[0, 80[",*,111949,*,*,*,Wife,*,*,0,0,35,*,<=50K
166,362,"[0, 80[",*,180609,*,*,*,Husband,*,*,0,0,45,*,<=50K
167,365,"[0, 80[",*,92262,*,*,*,Husband,*,*,0,0,40,*,<=50K
168,367,"[0, 80[",*,362589,*,*,*,Not-in-family,*,*,0,0,15,*,<=50K
169,369,"[0, 80[",*,481060,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
170,371,"[0, 80[",*,89821,*,*,*,Own-child,*,*,0,0,10,*,<=50K
171,373,"[0, 80[",*,256649,*,*,*,Husband,*,*,0,0,40,*,<=50K
172,374,"[0, 80[",*,160323,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
173,375,"[0, 80[",*,350845,*,*,*,Own-child,*,*,0,0,10,*,<=50K
174,377,"[0, 80[",*,35633,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
175,379,"[0, 80[",*,172927,*,*,*,Husband,*,*,0,0,50,*,<=50K
176,380,"[0, 80[",*,174319,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
177,382,"[0, 80[",*,344991,*,*,*,Husband,*,*,0,0,40,*,<=50K
178,383,"[0, 80[",*,108699,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
179,385,"[0, 80[",*,396099,*,*,*,Not-in-family,*,*,0,0,25,*,<=50K
180,387,"[0, 80[",*,162028,*,*,*,Wife,*,*,0,2415,6,*,>50K
181,388,"[0, 80[",*,25429,*,*,*,Own-child,*,*,0,0,16,*,<=50K
182,389,"[0, 80[",*,232392,*,*,*,Other-relative,*,*,0,0,40,*,<=50K
183,390,"[0, 80[",*,220098,*,*,*,Wife,*,*,0,0,40,*,>50K
184,391,"[0, 80[",*,301302,*,*,*,Not-in-family,*,*,0,0,50,*,<=50K
185,394,"[0, 80[",*,196164,*,*,*,Not-in-family,*,*,0,0,35,*,<=50K
186,395,"[0, 80[",*,115562,*,*,*,Husband,*,*,0,0,40,*,<=50K
187,397,"[0, 80[",*,137300,*,*,*,Other-relative,*,*,0,0,35,*,<=50K
188,398,"[0, 80[",*,86872,*,*,*,Husband,*,*,0,0,55,*,>50K
189,399,"[0, 80[",*,132178,*,*,*,Husband,*,*,0,0,50,*,>50K
190,400,"[0, 80[",*,416103,*,*,*,Own-child,*,*,0,0,40,*,<=50K
191,401,"[0, 80[",*,108574,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
192,405,"[0, 80[",*,445382,*,*,*,Husband,*,*,0,1977,65,*,>50K
193,406,"[0, 80[",*,110145,*,*,*,Husband,*,*,0,0,40,*,<=50K
194,407,"[0, 80[",*,317253,*,*,*,Husband,*,*,0,0,25,*,<=50K
195,409,"[0, 80[",*,364657,*,*,*,Husband,*,*,0,0,50,*,<=50K
196,411,"[0, 80[",*,241951,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
197,412,"[0, 80[",*,118500,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
198,420,"[0, 80[",*,61777,*,*,*,Husband,*,*,0,0,30,*,<=50K
199,421,"[0, 80[",*,175024,*,*,*,Own-child,*,*,2176,0,18,*,<=50K
200,425,"[0, 80[",*,133373,*,*,*,Husband,*,*,0,0,60,*,<=50K
201,427,"[0, 80[",*,204653,*,*,*,Not-in-family,*,*,0,0,72,*,<=50K
202,429,"[0, 80[",*,287480,*,*,*,Husband,*,*,0,0,40,*,<=50K
203,431,"[0, 80[",*,202521,*,*,*,Own-child,*,*,0,0,40,*,<=50K
204,435,"[0, 80[",*,208405,*,*,*,Husband,*,*,0,0,50,*,>50K
205,440,"[0, 80[",*,363425,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
206,441,"[0, 80[",*,45857,*,*,*,Not-in-family,*,*,0,0,28,*,<=50K
207,443,"[0, 80[",*,116632,*,*,*,Husband,*,*,0,0,40,*,>50K
208,445,"[0, 80[",*,298227,*,*,*,Not-in-family,*,*,0,0,35,*,<=50K
209,447,"[0, 80[",*,56915,*,*,*,Husband,*,*,0,0,40,*,<=50K
210,448,"[0, 80[",*,146538,*,*,*,Husband,*,*,0,0,40,*,<=50K
211,449,"[0, 80[",*,258872,*,*,*,Own-child,*,*,0,0,5,*,<=50K
212,450,"[0, 80[",*,206399,*,*,*,Own-child,*,*,0,0,40,*,<=50K
213,452,"[0, 80[",*,245062,*,*,*,Husband,*,*,0,0,40,*,>50K
214,456,"[0, 80[",*,180374,*,*,*,Wife,*,*,0,0,40,*,<=50K
215,457,"[0, 80[",*,351299,*,*,*,Husband,*,*,0,0,50,*,<=50K
216,458,"[0, 80[",*,54012,*,*,*,Husband,*,*,0,0,60,*,<=50K
217,461,"[0, 80[",*,288825,*,*,*,Husband,*,*,0,0,40,*,<=50K
218,462,"[0, 80[",*,132601,*,*,*,Husband,*,*,0,0,50,*,<=50K
219,464,"[0, 80[",*,170070,*,*,*,Not-in-family,*,*,0,0,20,*,<=50K
220,465,"[0, 80[",*,126708,*,*,*,Wife,*,*,0,0,60,*,<=50K
221,466,"[0, 80[",*,35598,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
222,467,"[0, 80[",*,33983,*,*,*,Husband,*,*,0,0,40,*,<=50K
223,468,"[0, 80[",*,192776,*,*,*,Husband,*,*,0,1977,45,*,>50K
224,471,"[0, 80[",*,139883,*,*,*,Own-child,*,*,0,0,40,*,<=50K
225,472,"[0, 80[",*,285020,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
226,473,"[0, 80[",*,303990,*,*,*,Not-in-family,*,*,0,0,60,*,<=50K
227,476,"[0, 80[",*,211870,*,*,*,Not-in-family,*,*,0,0,6,*,<=50K
228,477,"[0, 80[",*,281432,*,*,*,Own-child,*,*,0,0,30,*,<=50K
229,479,"[0, 80[",*,197904,*,*,*,Unmarried,*,*,0,0,35,*,<=50K
230,481,"[0, 80[",*,170721,*,*,*,Husband,*,*,0,0,20,*,<=50K
231,482,"[0, 80[",*,70100,*,*,*,Not-in-family,*,*,0,0,20,*,<=50K
232,488,"[0, 80[",*,164427,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
233,489,"[0, 80[",*,91039,*,*,*,Husband,*,*,15024,0,60,*,>50K
234,490,"[0, 80[",*,347934,*,*,*,Not-in-family,*,*,0,0,35,*,<=50K
235,495,"[0, 80[",*,343121,*,*,*,Unmarried,*,*,0,0,36,*,<=50K
236,496,"[0, 80[",*,262749,*,*,*,Own-child,*,*,0,0,40,*,<=50K
237,498,"[0, 80[",*,64293,*,*,*,Not-in-family,*,*,0,0,35,*,<=50K
238,499,"[0, 80[",*,303588,*,*,*,Husband,*,*,0,0,20,*,<=50K
239,502,"[0, 80[",*,48925,*,*,*,Husband,*,*,0,0,40,*,<=50K
240,504,"[0, 80[",*,181054,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
241,505,"[0, 80[",*,388093,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
242,507,"[0, 80[",*,112131,*,*,*,Husband,*,*,0,0,40,*,<=50K
243,509,"[0, 80[",*,91996,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
244,513,"[0, 80[",*,337587,*,*,*,Husband,*,*,0,0,50,*,>50K
245,514,"[0, 80[",*,189346,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
246,516,"[0, 80[",*,267044,*,*,*,Not-in-family,*,*,0,0,20,*,<=50K
247,517,"[0, 80[",*,214635,*,*,*,Own-child,*,*,0,0,24,*,<=50K
248,518,"[0, 80[",*,204226,*,*,*,Unmarried,*,*,0,0,35,*,<=50K
249,519,"[0, 80[",*,108116,*,*,*,Husband,*,*,0,0,50,*,>50K
250,520,"[0, 80[",*,99146,*,*,*,Husband,*,*,15024,0,80,*,>50K
251,521,"[0, 80[",*,196232,*,*,*,Husband,*,*,7688,0,50,*,>50K
252,524,"[0, 80[",*,177905,*,*,*,Unmarried,*,*,0,0,58,*,>50K
253,526,"[0, 80[",*,221172,*,*,*,Husband,*,*,0,0,40,*,>50K
254,528,"[0, 80[",*,190387,*,*,*,Husband,*,*,0,0,50,*,<=50K
255,531,"[0, 80[",*,108658,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
256,532,"[0, 80[",*,197202,*,*,*,Husband,*,*,0,0,40,*,<=50K
257,540,"[0, 80[",*,210525,*,*,*,Husband,*,*,0,0,40,*,<=50K
258,543,"[0, 80[",*,163862,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
259,544,"[0, 80[",*,201872,*,*,*,Husband,*,*,0,0,50,*,<=50K
260,545,"[0, 80[",*,84179,*,*,*,Not-in-family,*,*,0,0,45,*,<=50K
261,547,"[0, 80[",*,233327,*,*,*,Husband,*,*,0,0,40,*,<=50K
262,548,"[0, 80[",*,259510,*,*,*,Own-child,*,*,0,0,36,*,<=50K
263,549,"[0, 80[",*,184831,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
264,556,"[0, 80[",*,54576,*,*,*,Husband,*,*,0,0,40,*,<=50K
265,561,"[0, 80[",*,212960,*,*,*,Husband,*,*,0,0,35,*,>50K
266,562,"[0, 80[",*,264052,*,*,*,Husband,*,*,0,0,50,*,>50K
267,563,"[0, 80[",*,82804,*,*,*,Unmarried,*,*,0,0,40,*,<=50K
268,565,"[0, 80[",*,27337,*,*,*,Own-child,*,*,0,0,48,*,<=50K
269,570,"[0, 80[",*,354351,*,*,*,Own-child,*,*,0,0,40,*,<=50K
270,571,"[0, 80[",*,95469,*,*,*,Husband,*,*,0,0,40,*,<=50K
271,572,"[0, 80[",*,242718,*,*,*,Own-child,*,*,0,0,12,*,<=50K
272,573,"[0, 80[",*,22463,*,*,*,Husband,*,*,0,1977,40,*,>50K
273,575,"[0, 80[",*,350162,*,*,*,Wife,*,*,0,0,40,*,>50K
274,580,"[0, 80[",*,195733,*,*,*,Husband,*,*,0,0,30,*,>50K
275,581,"[0, 80[",*,69884,*,*,*,Husband,*,*,0,0,40,*,>50K
276,582,"[0, 80[",*,199713,*,*,*,Husband,*,*,0,0,40,*,<=50K
277,583,"[0, 80[",*,181659,*,*,*,Husband,*,*,0,0,40,*,<=50K
278,585,"[0, 80[",*,197747,*,*,*,Own-child,*,*,0,0,24,*,<=50K
279,586,"[0, 80[",*,34292,*,*,*,Not-in-family,*,*,0,0,60,*,<=50K
280,587,"[0, 80[",*,156764,*,*,*,Own-child,*,*,0,0,40,*,<=50K
281,588,"[0, 80[",*,25826,*,*,*,Husband,*,*,0,1887,47,*,>50K
282,593,"[0, 80[",*,168387,*,*,*,Husband,*,*,7688,0,40,*,>50K
283,594,"[0, 80[",*,117789,*,*,*,Own-child,*,*,0,0,40,*,<=50K
284,595,"[0, 80[",*,267147,*,*,*,Own-child,*,*,0,0,40,*,<=50K
285,596,"[0, 80[",*,99399,*,*,*,Unmarried,*,*,0,0,25,*,<=50K
286,597,"[0, 80[",*,214242,*,*,*,Husband,*,*,0,1902,50,*,>50K
287,598,"[0, 80[",*,200408,*,*,*,Not-in-family,*,*,2174,0,40,*,<=50K
288,601,"[0, 80[",*,217039,*,*,*,Own-child,*,*,0,0,28,*,<=50K
289,605,"[0, 80[",*,45612,*,*,*,Unmarried,*,*,0,0,37,*,<=50K
290,607,"[0, 80[",*,182521,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
291,609,"[0, 80[",*,169658,*,*,*,Own-child,*,*,0,0,21,*,<=50K
292,611,"[0, 80[",*,247564,*,*,*,Not-in-family,*,*,0,0,40,*,<=50K
293,612,"[0, 80[",*,249909,*,*,*,Husband,*,*,0,0,50,*,<=50K
294,613,"[0, 80[",*,208122,*,*,*,Own-child,*,*,1055,0,40,*,<=50K
295,614,"[0, 80[",*,109881,*,*,*,Own-child,*,*,0,0,20,*,<=50K
296,615,"[0, 80[",*,207824,*,*,*,Own-child,*,*,0,0,60,*,<=50K
297,616,"[0, 80[",*,369027,*,*,*,Husband,*,*,0,0,45,*,<=50K
298,617,"[0, 80[",*,114117,*,*,*,Husband,*,*,0,0,32,*,<=50K
299,618,"[0, 80[",*,51048,*,*,*,Husband,*,*,0,0,55,*,<=50K
300,619,"[0, 80[",*,102388,*,*,*,Husband,*,*,15024,0,45,*,>50K
301,620,"[0, 80[",*,190483,*,*,*,Own-child,*,*,0,0,20,*,<=50K
302,625,"[0, 80[",*,124187,*,*,*,Own-child,*,*,0,0,60,*,<=50K
303,626,"[0, 80[",*,153614,*,*,*,Husband,*,*,0,0,45,*,>50K
304,627,"[0, 80[",*,267556,*,*,*,Husband,*,*,0,0,64,*,<=50K
305,628,"[0, 80[",*,205469,*,*,*,Husband,*,*,0,0,40,*,>50K
306,629,"[0, 80[",*,268090,*,*,*,Husband,*,*,0,0,26,*,>50K
307,632,"[0, 80[",*,154374,*,*,*,Husband,*,*,15024,0,60,*,>50K
